item_id,model_short_name,scorer,n_variants,answer_agreement,correct_agreement,quality_agreement,medical_relevance_var,shuffle_changed_answer
medqa:test:000002,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000002,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000003,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000003,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000005,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.2222222222222222,False
medqa:test:000005,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000019,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000019,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000028,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000028,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000033,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000033,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000049,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000049,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000055,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000055,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000066,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000066,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000085,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.2222222222222222,False
medqa:test:000085,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000105,qwen7b,heuristic_v1,3,1.0,1.0,0.0,0.0,False
medqa:test:000105,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000110,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000110,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000112,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000112,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000113,qwen7b,heuristic_v1,3,0.0,0.0,1.0,0.0,True
medqa:test:000113,qwen7b,medgemma_judge_v1,3,0.0,0.0,0.0,0.22222222222222224,True
medqa:test:000131,qwen7b,heuristic_v1,3,0.0,0.0,1.0,0.2222222222222222,True
medqa:test:000131,qwen7b,medgemma_judge_v1,3,0.0,0.0,1.0,0.0,True
medqa:test:000133,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000133,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000136,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000136,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000137,qwen7b,heuristic_v1,3,0.0,0.0,1.0,0.0,False
medqa:test:000137,qwen7b,medgemma_judge_v1,3,0.0,0.0,0.0,0.22222222222222224,False
medqa:test:000140,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000140,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000151,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000151,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000161,qwen7b,heuristic_v1,3,1.0,1.0,0.0,0.0,False
medqa:test:000161,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000171,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000171,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000177,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.2222222222222222,False
medqa:test:000177,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000182,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000182,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000185,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.2222222222222222,False
medqa:test:000185,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000192,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000192,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000195,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.2222222222222222,False
medqa:test:000195,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000206,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000206,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000215,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000215,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000225,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000225,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000226,qwen7b,heuristic_v1,3,0.0,0.0,1.0,0.0,True
medqa:test:000226,qwen7b,medgemma_judge_v1,3,0.0,0.0,1.0,0.0,True
medqa:test:000230,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000230,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000232,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000232,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000241,qwen7b,heuristic_v1,3,0.0,0.0,0.0,0.2222222222222222,True
medqa:test:000241,qwen7b,medgemma_judge_v1,3,0.0,0.0,0.0,0.22222222222222224,True
medqa:test:000259,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000259,qwen7b,medgemma_judge_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000264,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000264,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000267,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.0,False
medqa:test:000267,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
medqa:test:000269,qwen7b,heuristic_v1,3,0.0,0.0,1.0,0.22222222222222224,True
medqa:test:000269,qwen7b,medgemma_judge_v1,3,0.0,0.0,1.0,0.0,True
medqa:test:000271,qwen7b,heuristic_v1,3,1.0,1.0,1.0,0.22222222222222224,False
medqa:test:000271,qwen7b,medgemma_judge_v1,3,1.0,1.0,0.0,0.22222222222222224,False
